Class,Control1,Control2,Control3,Control4,Control5,25LNE1,25LNE2,25LNE3,25LNE4,25LNE5,25LE1,25LE2,25LE3,25LE4,25LE5,25DNE1,25DNE2,25DNE3,25DNE4,25DNE5,25DE1,25DE2,25DE3,25DE4,25DE5,4DNE1,4DNE2,4DNE3,4DNE4,4DNE5,4DE1,4DE2,4DE3,4DE4,4DE5
ABA,4.45,5.73,3.92,6.92,7.06,7.05,18.1,8.97,6.27,7.16,0,1.2,1.35,1.31,1.58,8.77,0,8.46,7.75,6.23,2.17,2.4,3.1,0,2.36,4.32,3.2,4.03,3.83,3.14,0,1.46,1.04,0,1.08
ABA-GE,0,0,0,0,0,145,160,174,160,132,58.2,51.3,0,41,51.7,81.3,108,114,99.2,126,45,40.2,68.1,60.4,38.1,97.3,98.2,0,0,97.8,65.1,84.9,50.4,77.9,73.6
IAA-Glu,0,0,0.69,0.62,0.75,2.19,0,1.96,1.5,1.3,1.48,0,1.51,1.67,1.28,1.15,1.23,1.1,1.18,1.22,1.61,2.71,0,1.99,2.55,1.05,1.09,1.03,1.16,0,0,0,1.16,0,0
IAA-Val-Me,0.04,0.04,0.05,0.05,0.08,0.31,0.17,0.15,0.15,0.26,0.16,0.16,0.05,0.08,0.03,0.07,0.11,0.15,0.13,0.14,0.1,0.05,0.09,0.04,0.02,0.06,0.07,0.13,0.03,0.13,0.07,0.05,0.07,0.06,0.06
IAA-Gly,5.51,6.98,6.68,6.67,5.15,10.9,9.59,15.5,9.67,11.7,6.04,10.3,8.55,7.53,8.65,12.1,13,8.81,8.07,8.83,6.27,8.09,3.94,4.21,5.01,4.03,5.92,6.72,6.52,8.39,4.31,4.6,4.73,3.55,4.8
OxIAA,11.3,10.5,11.8,8.25,10.5,34.4,30.4,62.4,46.1,65.8,42,35.9,23.9,23.3,18.5,30.1,25.4,30.8,40.4,43.7,12.3,11.9,27,24,24.8,20.2,27.6,36.1,35.6,29.9,33.4,21,36.3,25.2,20.5
IAA-Asp,12.3,16.8,12.7,13.6,16.2,6.3,4.11,5.68,4.28,5.23,2.7,3.61,2.41,3.26,0,3.22,3.53,3.24,2.13,2.75,2.15,4.07,0,2.64,1.58,2.47,2.33,3.08,3.1,2.24,1.74,2.26,2.06,1.89,1.69
IAA-Trp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.73,0.73,0,0,0,0,0,0,0,0,0,0,0
TRA,0,0,0,0,0,0,0,0.08,0,0,0,0.06,0.07,0.09,0,0,0.07,0,0.08,0.09,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0.17,0,0.12
IAA-Ala,1.34,1.37,1.36,0,0,2.58,2.32,3.31,2.01,2.31,1.91,2.01,1.97,1.8,1.74,2.56,1.86,2.19,2.23,2.55,1.7,1.62,1.84,1.8,1.9,2.25,2.13,1.92,2.11,2.14,1.83,1.86,1.82,1.95,1.97
